id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest,updated_at,guardian1_email,guardian2_email,grade,deliver_test_accomodation_approved,test_date_sign_up,current_school
739,nan,79.0,87.0,70.0,60.0,20.0,16.0,24.0,In Processing,nan,nan,nan,nan,2024-12-04 17:04:21,nan,nan,10,nan,April 26 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans
740,30.0,81.0,85.0,88.0,99.0,21.0,25.0,23.0,Eligible,nan,nan,nan,nan,2024-12-04 17:09:39,nan,nan,9,nan,January 18 2025,The Willow School
741,nan,nan,nan,nan,0.0,2A4U,nan,nan,In Processing,nan,nan,nan,nan,2024-12-04 18:37:55,nan,nan,9,nan,January 18 2025,Jesuit High School
742,nan,68.0,69.0,7.0,31.0,15.0,1.0,15.0,In Processing,nan,nan,nan,nan,2024-12-05 23:18:27,nan,nan,10,nan,April 26 2025 (No-rest option),Other
743,nan,97.0,99.0,99.0,89.0,29.0,30.0,30.0,In Processing,nan,nan,nan,nan,2024-12-05 8:36:13,nan,nan,9,nan,January 18 2025,Bricolage Academy
744,22.0,73.0,80.0,78.0,80.0,17.0,20.0,21.0,In Processing,nan,nan,nan,nan,2025-02-06 14:51:27,nan,nan,9,nan,April 26 2025 (No-rest option),Audubon Uptown Montessori and French
745,nan,44.0,53.0,43.0,X0Se,3.0,2.0,7.0,In Processing,nan,nan,nan,nan,2024-12-05 10:33:15,nan,nan,9,nan,January 18 2025,Audubon Uptown Montessori and French
746,nan,75.0,61.0,78.0,49.0,18.0,20.0,11.0,In Processing,nan,nan,nan,nan,2024-12-05 11:20:42,nan,nan,9,nan,January 18 2025,Mary McLeod Bethune Elementary
747,nan,43.0,84.0,20.0,26.0,2.0,1.0,23.0,In Processing,nan,nan,nan,nan,2024-12-05 12:44:01,nan,nan,9,nan,April 26 2025 (No-rest option),Other
748,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,24.0,1.0,18.0,43.0,2024-12-16 19:16:35,nan,nan,9,nan,February 15 2025 (No-rest option),Success at Thurgood Marshall
749,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-05 22:34:09,nan,nan,9,nan,March 22 2025 (No-rest option),Alice Harte Charter School
750,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-06 10:31:27,nan,nan,10,nan,nan,Other
751,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-06 11:09:41,nan,nan,11,nan,January 18 2025,International School of Louisiana
752,nan,36.0,37.0,45.0,5.0,1.0,3.0,1.0,In Processing,nan,nan,nan,nan,2024-12-20 19:58:46,nan,nan,9,nan,April 26 2025 (No-rest option),Andrew H. Wilson Charter School
753,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,20.0,1.0,13.0,34.0,2025-01-20 9:53:00,nan,nan,11,nan,February 15 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans
754,30.0,72.0,87.0,96.0,100.0,17.0,29.0,24.0,Eligible,nan,nan,nan,nan,2025-01-07 15:19:54,nan,nan,9,nan,January 18 2025,Lake Forest Elementary Charter School
755,nan,nan,nan,nan,nan,nan,nan,E3b0,In Processing,nan,nan,nan,nan,2024-12-06 18:48:34,nan,nan,11,nan,nan,Other
756,nan,88.0,97.0,43.0,56.0,25.0,2.0,29.0,In Processing,nan,nan,nan,nan,2024-12-06 22:22:57,nan,nan,11,nan,April 26 2025 (No-rest option),Other
757,30.0,87.0,95.0,90.0,108.0,24.0,26.0,28.0,Eligible,nan,nan,nan,nan,2024-12-07 15:23:43,nan,nan,9,nan,January 18 2025,Mary McLeod Bethune Elementary
758,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-07 17:30:59,nan,nan,11,nan,January 18 2025,Metairie Park Country Day
759,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-07 18:16:33,nan,nan,9,nan,nan,Edward Hynes Lakeview
760,nan,95.0,91.0,88.0,79.0,28.0,25.0,26.0,In Processing,nan,nan,nan,nan,2024-12-08 18:00:49,nan,nan,11,nan,January 18 2025,The Willow School
761,nan,97.0,88.0,77.0,73.0,29.0,19.0,25.0,5QCk,nan,nan,nan,nan,2024-12-08 21:10:12,nan,nan,11,nan,April 26 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans
762,nan,23.0,60.0,45.0,15.0,1.0,3.0,11.0,In Processing,nan,nan,nan,nan,2024-12-09 9:13:56,nan,nan,9,nan,January 18 2025,Kipp Believe
763,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-09 9:43:53,nan,nan,9,nan,January 18 2025,Audubon Uptown Montessori and French
764,23.0,89.0,84.0,92.0,98.0,25.0,27.0,23.0,Eligible,nan,nan,nan,nan,2024-12-09 10:10:08,nan,nan,10,nan,January 18 2025,Other
765,nan,43.0,28.0,14.0,4.0,2.0,1.0,1.0,In Processing,nan,nan,nan,nan,2024-12-09 11:39:39,nan,nan,10,nan,May 24 2025 (Final Test Date),Other
766,nan,18.0,29.0,22.0,3.0,1.0,1.0,1.0,In Processing,nan,nan,nan,nan,2024-12-09 11:11:07,nan,nan,9,nan,January 18 2025,Einstein Middle School
767,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,1.0,3.0,2024-12-09 11:15:12,nan,nan,9,nan,nan,Phillis Wheatley Community School
768,nan,62.0,89.0,50.0,43.0,12.0,6.0,25.0,In Processing,nan,nan,nan,nan,2024-12-09 11:35:07,nan,nan,9,nan,April 26 2025 (No-rest option),Audubon Uptown Montessori and French
769,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-09 11:38:34,nan,nan,9,nan,nan,Other
770,nan,17.0,53.0,39.0,9.0,1.0,1.0,7.0,In Processing,nan,nan,nan,nan,2024-12-09 12:43:57,nan,nan,9,nan,April 26 2025 (No-rest option),Homer Plessy Community School
771,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-09 14:58:01,nan,nan,11,nan,nan,Louise McGehee
772,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,18.0,1.0,20.0,2024-12-09 16:38:40,nan,nan,9,nan,February 15 2025 (No-rest option),Audubon Uptown Montessori and French
773,nan,60.0,59.0,62.0,33.0,11.0,12.0,10.0,In Processing,nan,nan,nan,nan,2024-12-09 16:57:59,nan,nan,9,nan,April 26 2025 (No-rest option),Other
774,nan,99.0,74.0,64.0,61.0,30.0,13.0,18.0,In Processing,nan,nan,nan,nan,2024-12-09 17:27:20,nan,nan,VuTI,nan,April 26 2025 (No-rest option),Other
775,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-06 23:32:37,nan,nan,10,nan,April 26 2025 (No-rest option),Other
776,30.0,64.0,97.0,72.0,89.0,13.0,17.0,29.0,Eligible,nan,nan,nan,nan,2024-12-09 20:49:59,nan,nan,9,nan,January 18 2025,Morris Jeff Community School
777,nan,75.0,73.0,18.0,36.0,18.0,1.0,17.0,In Processing,nan,nan,nan,nan,2024-12-10 11:44:47,nan,nan,9,nan,April 26 2025 (No-rest option),Audubon Uptown Montessori and French
778,nan,93.0,93.0,62.0,66.0,27.0,12.0,27.0,In Processing,nan,nan,nan,nan,2025-01-07 20:50:23,nan,nan,10,nan,April 26 2025 (No-rest option),ziiV
779,nan,79.0,83.0,66.0,56.0,20.0,14.0,22.0,In Processing,nan,nan,nan,nan,2024-12-10 17:58:30,nan,nan,10,nan,April 26 2025 (No-rest option),Other
780,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-10 21:39:45,nan,nan,9,nan,DqfN,Arthur Ashe Charter School
781,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-11 7:21:13,nan,nan,10,nan,January 18 2025,Other
782,nan,71.0,92.0,43.0,45.0,16.0,2.0,27.0,In Processing,nan,nan,nan,nan,2024-12-11 9:20:57,nan,nan,9,nan,January 18 2025,Homer Plessy Community School
783,30.0,nan,nan,nan,30.0,nan,nan,nan,Eligible,23.0,30.0,30.0,113.0,2024-12-11 13:05:06,nan,nan,9,nan,February 15 2025 (No-rest option),Morris Jeff Community School
784,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-12 4:06:10,nan,nan,9,nan,S7we,Audubon Uptown Montessori and French
785,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-13 0:00:02,nan,nan,9,nan,February 15 2025 (No-rest option),Audubon Uptown Montessori and French
786,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-13 9:10:06,nan,nan,9uUm,nan,January 18 2025,Morris Jeff Community School
787,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-13 12:42:06,nan,nan,9,nan,nan,Renew Laurel Elementary
788,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,4psS,4.0,13.0,18.0,2024-12-13 14:29:04,nan,nan,9,nan,February 15 2025 (No-rest option),Edward Hynes Lakeview
789,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,12.0,12.0,16.0,40.0,2024-12-14 11:00:26,nan,nan,zTMt,nan,nan,International School of Louisiana
790,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-14 14:32:43,nan,nan,9,nan,nan,Benjamin Franklin Elementary
791,30.0,82.0,85.0,97.0,104.0,22.0,29.0,23.0,Eligible,nan,nan,nan,nan,2024-12-14 14:36:10,nan,nan,9,nan,January 18 2025,Mildred Osborne Charter School
792,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,19.0,17.0,37.0,2024-12-14 16:39:42,nan,nan,9,nan,March 22 2025 (No-rest option),Lake Forest Elementary Charter School
793,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,19.0,17.0,37.0,2024-12-14 16:39:42,nan,nan,9,nan,March 22 2025 (No-rest option),Lake Forest Elementary Charter School
794,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,7.0,5.0,13.0,2025-03-15 18:47:26,nan,nan,9,nan,March 22 2025 (No-rest option),Phillis Wheatley Community School
795,30.0,89.0,98.0,99.0,115.0,25.0,30.0,30.0,Eligible,nan,nan,nan,nan,2024-12-15 10:15:52,nan,nan,9,nan,January 18 2025,The Willow School
796,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-15 12:28:15,nan,nan,10,nan,nan,Other
797,nan,26.0,59.0,43.0,13.0,1.0,2.0,10.0,In Processing,nan,nan,nan,nan,2024-12-15 12:41:55,nan,nan,9,nan,January 18 2025,Homer Plessy Community School
798,26.0,85.0,99.0,99.0,109.0,23.0,30.0,30.0,Eligible,nan,nan,nan,nan,2024-12-16 10:27:02,nan,nan,9,nan,January 18 2025,Ursuline Academy
799,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-16 17:18:09,nan,nan,9,nan,nan,Langston Hughes Academy
800,nan,34.0,21.0,16.0,3.0,1.0,1.0,1.0,In Processing,nan,nan,nan,nan,2024-12-16 18:07:20,nan,nan,9,nan,April 26 2025 (No-rest option),Arthur Ashe Charter School
801,nan,39.0,67.0,51.0,21.0,1.0,6.0,14.0,In Processing,nan,nan,nan,nan,2024-12-20 9:29:08,nan,nan,9,nan,January 18 2025,Audubon Uptown Montessori and French
802,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-17 9:25:15,nan,nan,10,nan,February 15 2025 (No-rest option),Other
803,nan,33.0,51.0,12.0,8.0,1.0,1.0,6.0,In Processing,nan,nan,nan,nan,2024-12-17 9:50:50,nan,nan,9,nan,April 26 2025 (No-rest option),Renew Robert Russa Moton: Lakefront:
804,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-17 13:09:39,nan,nan,9,nan,January 18 2025,Audubon Uptown Montessori and French
805,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,5.0,7.0,2025-01-12 20:26:37,nan,nan,9,nan,March 22 2025 (No-rest option),Audubon Uptown Montessori and French
806,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-17 13:40:48,nan,nan,9,nan,January 18 2025,Bricolage Academy
807,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-18 18:05:11,nan,nan,11,nan,January 18 2025,Other
808,nan,82.0,61.0,74.0,51.0,22.0,18.0,11.0,In Processing,nan,nan,nan,nan,2024-12-17 15:50:49,nan,nan,9,nan,April 26 2025 (No-rest option),Edward Hynes Lakeview
809,30.0,41.0,97.0,97.0,89.0,1.0,29.0,29.0,Eligible,nan,nan,nan,nan,2024-12-17 23:51:35,nan,nan,9,nan,April 26 2025 (No-rest option),Mildred Osborne Charter School
810,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-27 13:13:04,nan,nan,11,nan,nan,Lycee Francais de la Nouvelle Orleans
811,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-18 10:21:01,nan,nan,10,nan,April 26 2025 (No-rest option),Other
812,30.0,75.0,95.0,99.0,106.0,18.0,30.0,28.0,Eligible,nan,nan,nan,nan,2024-12-19 8:02:52,nan,nan,9,nan,January 18 2025,Homer Plessy Community School
813,nan,79.0,68.0,24.0,36.0,20.0,1.0,15.0,In Processing,nan,nan,nan,nan,2024-12-19 10:01:47,nan,nan,10,nan,January 18 2025,Other
814,nan,84.0,90.0,68.0,64.0,23.0,15.0,26.0,In Processing,nan,nan,nan,nan,2024-12-19 12:47:49,nan,nan,11,nan,April 26 2025 (No-rest option),Isidore Newman
815,21.0,69.0,94.0,86.0,88.0,15.0,24.0,28.0,Eligible,nan,nan,nan,nan,2024-12-19 13:42:44,nan,nan,9,nan,January 18 2025,Lycee Francais de la Nouvelle Orleans
816,nan,52.0,73.0,80.0,45.0,7.0,21.0,17.0,In Processing,nan,nan,nan,nan,2024-12-19 17:21:22,nan,nan,9,nan,January 18 2025,International School of Louisiana
817,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-08 11:17:17,nan,nan,10,nan,January 18 2025,Other
818,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-19 18:09:10,nan,nan,9,nan,nan,Homer Plessy Community School
819,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-20 14:46:24,nan,nan,9,nan,nan,Success at Thurgood Marshall
820,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-20 17:13:30,nan,nan,10,nan,March 22 2025 (No-rest option),Other
821,nan,88.0,86.0,70.0,65.0,25.0,16.0,24.0,In Processing,nan,nan,nan,nan,2024-12-22 9:35:21,nan,nan,10,nan,April 26 2025 (No-rest option),Other
822,nan,55.0,90.0,78.0,54.0,8.0,20.0,26.0,In Processing,nan,nan,nan,nan,2024-12-22 14:49:22,nan,nan,9,nan,April 26 2025 (No-rest option),Lake Forest Elementary Charter School
823,nan,9.0,47.0,20.0,6.0,1.0,1.0,4.0,In Processing,nan,nan,nan,nan,2024-12-22 20:51:16,nan,nan,9,nan,April 26 2025 (No-rest option),Samuel J. Green Charter School
824,nan,79.0,66.0,54.0,42.0,20.0,8.0,14.0,In Processing,nan,nan,nan,nan,2024-12-25 12:07:07,nan,nan,9,nan,April 26 2025 (No-rest option),Mary McLeod Bethune Elementary
825,nan,30.0,65.0,94.0,42.0,1.0,28.0,13.0,In Processing,nan,nan,nan,nan,2024-12-26 20:38:54,nan,nan,9,nan,April 26 2025 (No-rest option),Morris Jeff Community School
826,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-26 22:18:50,nan,nan,9,nan,April 26 2025 (No-rest option),Other
827,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-26 23:17:07,nan,nan,11,nan,April 26 2025 (No-rest option),Other
828,nan,29.0,73.0,31.0,19.0,1.0,1.0,17.0,In Processing,nan,nan,nan,nan,2024-12-28 23:57:29,nan,nan,9,nan,April 26 2025 (No-rest option),Arthur Ashe Charter School
829,nan,29.0,73.0,31.0,19.0,1.0,1.0,17.0,In Processing,nan,nan,nan,nan,2024-12-28 23:57:29,nan,nan,9,nan,April 26 2025 (No-rest option),Arthur Ashe Charter School
830,nan,96.0,90.0,43.0,57.0,29.0,2.0,26.0,In Processing,nan,wHhU,nan,nan,2024-12-29 12:25:24,nan,nan,9,nan,April 26 2025 (No-rest option),Edward Hynes Lakeview
831,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-30 9:48:26,nan,nan,10,nan,January 18 2025,Other
832,nan,59.0,87.0,62.0,46.0,10.0,12.0,24.0,In Processing,nan,nan,nan,nan,2024-12-30 13:24:27,nan,nan,9,nan,April 26 2025 (No-rest option),Audubon Gentilly
833,nan,77.0,84.0,24.0,43.0,19.0,1.0,23.0,In Processing,nan,nan,nan,nan,2024-12-30 13:32:55,nan,nan,9,nan,January 18 2025,Bricolage Academy
834,nan,nan,nan,nan,HXkM,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-30 14:22:33,nan,nan,9,nan,January 18 2025,International School of Louisiana
835,nan,77.0,97.0,64.0,61.0,19.0,13.0,29.0,In Processing,nan,nan,nan,nan,2024-12-30 17:48:24,nan,nan,9,Test Accommodations Approved,January 18 2025,aGcD
836,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-31 0:12:32,nan,nan,9,nan,January 18 2025,Dwight D. Eisenhower Charter School
837,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-31 19:33:38,nan,nan,9,nan,nan,Edward Hynes Lakeview
838,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-01 11:19:04,nan,nan,11,nan,March 22 2025 (No-rest option),The Willow School
839,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-01 11:19:04,nan,nan,11,nan,March 22 2025 (No-rest option),The Willow School
840,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-01 11:21:10,nan,nan,10,nan,March 22 2025 (No-rest option),The Willow School
841,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-01 13:50:27,nan,nan,9,nan,January 18 2025,Renew Schaumburg Elementary
842,nan,90.0,76.0,77.0,64.0,26.0,19.0,19.0,In Processing,nan,nan,nan,nan,2025-01-01 20:11:12,nan,nan,11,nan,April 26 2025 (No-rest option),Other
843,30.0,93.0,93.0,97.0,113.0,27.0,29.0,27.0,Eligible,nan,nan,nan,nan,2025-01-02 19:09:47,nan,nan,10,UO8s,January 18 2025,Lycee Francais de la Nouvelle Orleans
844,30.0,nan,nan,nan,30.0,nan,nan,nan,In Processing,26.0,30.0,30.0,116.0,2025-01-03 16:08:14,nan,nan,9,nan,March 22 2025 (No-rest option),Other
845,nan,32.0,67.0,60.0,26.0,1.0,11.0,14.0,In Processing,VtdM,nan,nan,nan,2025-01-04 13:01:37,nan,nan,9,nan,April 26 2025 (No-rest option),Audubon Uptown Montessori and French
846,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-04 18:33:53,nan,nan,10,nan,January 18 2025,Other
847,nan,92.0,96.0,55.0,64.0,27.0,8.0,29.0,In Processing,nan,nan,nan,nan,2025-01-05 17:46:23,nan,nan,10,nan,April 26 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans
848,nan,92.0,91.0,57.0,62.0,27.0,9.0,26.0,In Processing,nan,nan,nan,nan,2025-01-06 10:18:58,nan,nan,11,nan,January 18 2025,Other
849,nan,67.0,66.0,45.0,31.0,14.0,3.0,14.0,In Processing,nan,nan,nan,nan,2025-01-06 10:53:45,nan,nan,9,nan,January 18 2025,Homer Plessy Community School
850,25.0,nan,nan,nan,25.0,nan,nan,nan,Eligible,24.0,30.0,28.0,107.0,2025-01-06 10:55:59,nan,nan,9,nan,February 15 2025 (No-rest option),Benjamin Franklin Elementary
851,30.0,93.0,80.0,82.0,100.0,27.0,22.0,21.0,Eligible,nan,nan,nan,nan,2025-01-06 12:12:23,nan,nan,10,nan,January 18 2025,Other
852,nan,37.0,67.0,14.0,16.0,1.0,1.0,14.0,In Processing,nan,nan,nan,nan,2025-01-06 12:34:09,nan,nan,9,nan,April 26 2025 (No-rest option),Other
853,nan,59.0,69.0,62.0,37.0,10.0,12.0,15.0,In Processing,nan,nan,nan,nan,2025-01-06 18:11:17,nan,nan,10,nan,January 18 2025,Other
854,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,23.0,8.0,28.0,59.0,2025-01-06 18:36:22,nan,nan,10,nan,January 18 2025,Other
855,nan,94.0,99.0,99.0,88.0,28.0,30.0,30.0,Eligible,nan,nan,nan,nan,2025-04-04 14:18:52,nan,nan,9,nan,January 18 2025,Other
856,nan,47.0,55.0,57.0,21.0,4.0,9.0,8.0,In Processing,nan,nan,nan,nan,2025-01-06 23:21:40,nan,nan,11,nan,January 18 2025,International School of Louisiana
857,nan,74.0,79.0,55.0,46.0,18.0,8.0,20.0,In Processing,nan,nan,nan,nan,2025-01-07 8:39:02,nan,nan,10,nan,April 26 2025 (No-rest option),Other
858,22.0,nan,nan,nan,22.0,nan,nan,nan,In Processing,12.0,27.0,25.0,86.0,2025-01-07 12:32:48,nan,nan,9,nan,March 22 2025 (No-rest option),Other
859,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-07 13:40:09,nan,nan,9,nan,nan,Other
860,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,1.0,3.0,2025-01-07 14:01:04,nan,nan,9,nan,February 15 2025 (No-rest option),Arthur Ashe Charter School
861,30.0,81.0,97.0,76.0,99.0,21.0,19.0,29.0,Eligible,nan,nan,nan,nan,2025-01-07 14:58:55,nan,nan,10,nan,January 18 2025,Lycee Francais de la Nouvelle Orleans
862,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-07 15:17:28,nan,nan,9,nan,nan,Audubon Uptown Montessori and French
863,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-07 15:56:32,nan,nan,11,nan,nan,Other
864,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,1.0,3.0,2025-01-07 18:14:59,nan,nan,9,nan,March 22 2025 (No-rest option),Benjamin Franklin Elementary
865,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-07 19:33:29,nan,nan,9,nan,nan,Einstein Middle School
866,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-07 20:06:11,nan,nan,9,nan,nan,Audubon Uptown Montessori and French
867,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-07 21:47:21,nan,nan,11,nan,April 26 2025 (No-rest option),Other
868,nan,77.0,85.0,99.0,72.0,19.0,30.0,23.0,In Processing,nan,nan,nan,nan,2025-01-08 10:56:45,nan,nan,9,nan,January 18 2025,The Willow School
869,23.0,86.0,99.0,91.0,103.0,24.0,26.0,30.0,Eligible,nan,nan,nan,nan,2025-01-08 10:38:16,nan,nan,9,nan,January 18 2025,Other
870,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-08 11:29:43,nan,nan,10,nan,March 22 2025 (No-rest option),Other
871,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-08 11:33:10,nan,nan,9,nan,nan,Fannie C. Williams Charter School
872,nan,61.0,78.0,37.0,32.0,11.0,1.0,20.0,In Processing,nan,nan,nan,nan,2025-01-08 11:43:01,nan,nan,9,nan,January 18 2025,Mary McLeod Bethune Elementary
873,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-08 22:21:05,nan,nan,9,nan,nan,Esperanza Charter School
874,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-08 22:23:32,nan,nan,9,nan,January 18 2025,Esperanza Charter School
875,nan,86.0,81.0,73.0,62.0,24.0,17.0,21.0,In Processing,nan,nan,nan,nan,2025-01-08 23:39:57,nan,nan,10,nan,January 18 2025,Lycee Francais de la Nouvelle Orleans
876,nan,66.0,73.0,90.0,57.0,14.0,26.0,17.0,In Processing,nan,nan,nan,nan,2025-01-09 6:48:10,nan,nan,9,nan,April 26 2025 (No-rest option),Other
877,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-09 10:07:13,nan,nan,11,nan,April 26 2025 (No-rest option),Isidore Newman
878,nan,37.0,57.0,29.0,11.0,1.0,1.0,9.0,In Processing,nan,nan,nan,nan,2025-01-09 12:10:07,nan,nan,9,nan,January 18 2025,Harriet Tubman Charter School
879,30.0,nan,nan,nan,30.0,nan,nan,nan,Eligible,22.0,30.0,28.0,110.0,2025-01-09 13:06:22,nan,nan,10,Test Accommodations Approved,March 22 2025 (No-rest option),The Willow School
880,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-09 13:55:01,nan,nan,9,nan,nan,Other
881,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,10.0,18.0,24.0,52.0,2025-01-09 14:12:21,nan,nan,11,nan,February 15 2025 (No-rest option),Other
882,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-09 14:28:08,nan,nan,9,nan,nan,Morris Jeff Community School
883,nan,88.0,78.0,66.0,59.0,25.0,14.0,20.0,In Processing,nan,nan,nan,nan,2025-01-14 17:43:54,nan,nan,10,nan,April 26 2025 (No-rest option),Other
884,nan,60.0,76.0,37.0,31.0,11.0,1.0,19.0,In Processing,nan,nan,nan,nan,2025-01-09 16:25:45,nan,nan,9,nan,January 18 2025,Other
885,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-09 16:21:37,nan,nan,9,nan,nan,Elan Academy
886,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,2.0,4.0,2025-01-09 20:59:51,nan,nan,9,nan,March 22 2025 (No-rest option),Other
887,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,13.0,9.0,22.0,44.0,2025-01-09 17:58:10,nan,nan,9,nan,February 15 2025 (No-rest option),Kipp Believe
888,nan,23.0,39.0,33.0,3.0,1.0,1.0,1.0,In Processing,nan,nan,nan,nan,2025-01-09 21:25:47,nan,nan,9,nan,April 26 2025 (No-rest option),St. Augustine High School
889,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,1.0,3.0,2025-01-10 8:26:15,nan,nan,11,nan,February 15 2025 (No-rest option),Morris Jeff Community School
890,27.0,nan,nan,nan,27.0,nan,nan,nan,Eligible,22.0,27.0,30.0,106.0,2025-01-10 8:33:49,nan,nan,9,nan,February 15 2025 (No-rest option),The Willow School
